Pattern,Size,supportT,supportN,GrowthRatio
frozenset({'AGER_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'AGER_L'}),1,0.40350877192982454,0.0,inf
frozenset({'CLIC5_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'CLIC5_L'}),1,0.40350877192982454,0.0,inf
frozenset({'ARHGAP6_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'AURKA_EH'}),1,0.40350877192982454,0.0,inf
"frozenset({'KIF11_EH', 'DLGAP5_EH', 'DEPDC1_EH'})",3,0.38596491228070173,0.0,inf
"frozenset({'TOP2A_EH', 'KIF4A_EH'})",2,0.38596491228070173,0.0,inf
"frozenset({'TOP2A_EH', 'CDC6_EH'})",2,0.38596491228070173,0.0,inf
"frozenset({'ERCC6L_EH', 'KIF4A_EH'})",2,0.38596491228070173,0.0,inf
"frozenset({'KIF11_EH', 'DLGAP5_EH'})",2,0.38596491228070173,0.0,inf
"frozenset({'DLGAP5_EH', 'DEPDC1_EH'})",2,0.38596491228070173,0.0,inf
"frozenset({'ASPM_EH', 'KIF14_EH'})",2,0.38596491228070173,0.0,inf
"frozenset({'EXO1_EH', 'TPX2_EH'})",2,0.38596491228070173,0.0,inf
"frozenset({'KIF20A_EH', 'TPX2_EH'})",2,0.38596491228070173,0.0,inf
"frozenset({'KIF11_EH', 'BUB1B_EH'})",2,0.38596491228070173,0.0,inf
"frozenset({'KIF11_EH', 'DEPDC1_EH'})",2,0.38596491228070173,0.0,inf
"frozenset({'LDB2_EL', 'S1PR1_EL'})",2,0.38596491228070173,0.0,inf
frozenset({'JAM2_EL'}),1,0.38596491228070173,0.0,inf
frozenset({'SGCG_EL'}),1,0.38596491228070173,0.0,inf
frozenset({'TAL1_L'}),1,0.38596491228070173,0.0,inf
frozenset({'ACVRL1_EL'}),1,0.38596491228070173,0.0,inf
frozenset({'ARHGEF15_EL'}),1,0.38596491228070173,0.0,inf
frozenset({'GPR146_EL'}),1,0.38596491228070173,0.0,inf
frozenset({'C20orf160_EL'}),1,0.38596491228070173,0.0,inf
frozenset({'WNT3A_EL'}),1,0.38596491228070173,0.0,inf
"frozenset({'KIF11_EH', 'ASPM_EH', 'KIF14_EH', 'DEPDC1_EH', 'DLGAP5_EH'})",5,0.3684210526315789,0.0,inf
"frozenset({'ERCC6L_EH', 'KIF4A_EH', 'KIF20A_EH', 'TPX2_EH'})",4,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'DLGAP5_EH', 'DEPDC1_EH', 'CENPF_EH'})",4,0.3684210526315789,0.0,inf
"frozenset({'AURKA_EH', 'CENPF_EH', 'KIF20A_EH', 'TPX2_EH'})",4,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'DLGAP5_EH', 'ASPM_EH', 'KIF14_EH'})",4,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'ASPM_EH', 'KIF14_EH', 'DEPDC1_EH'})",4,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'DLGAP5_EH', 'ASPM_EH', 'DEPDC1_EH'})",4,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'DLGAP5_EH', 'KIF14_EH', 'DEPDC1_EH'})",4,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'DLGAP5_EH', 'DEPDC1_EH', 'BUB1B_EH'})",4,0.3684210526315789,0.0,inf
