FOXC1,ROPN1,RGMA,CA6,TTYH1,SCRG1,SFRS13B,CSN3,RABEP1,TMCC2,C6orf97,ERBB2,CCNE1,SLC39A6,SOX8,RLBP1,RGR,LOC93432,OLAH,HORMAD1,CCKBR,FAM171A1,B3GNT5,MIA,NCAN,EPHB1,KDM4B,FZD9,FSIP1,HAO1,GRB7,ROPN1B,HAPLN3,HRCT1,NCRNA00092,PTCHD1,SMR3B,TLE3,APH1B,FSCN1,GPR77,STARD3,CHRDL2,CRYAB,C1orf94,NRTN,MATN4,SLC25A18,STC2,TBC1D9,C6orf211,CMTM5,CA12,CLCN4,ACBD4,CSN2,C11orf75,MAGEB4,C2orf88,XBP1,EVL,FAM19A3,MLPH,TTLL4,CARD18,C10orf90,CAMKV,PGR,FAM150A,PRSS33,FOXA1,GFRA3,CLDN6,ANKRA2,C9orf170,MID1,PAPL,FAM150B,LEMD1,UCN3,YBX1,PSAPL1,SPHKAP,LOXL4,MOG,IL34,ATP6V1C2,WWP1,CTXN3,KCNK5,GPM6B,KRT20,PARD6B,TTC8,DLX6,TPRG1,CELSR1,IFRD1,NAT1,KIAA1370
EH,EH,EH,H,EH,EH,EH,EH,M,EH,L,L,EH,L,H,H,EH,EH,EH,EH,H,EH,EH,EH,M,H,L,EH,EL,EH,H,EH,EH,EH,EH,H,H,EL,EL,EH,L,M,EH,EH,EH,EH,H,EL,M,L,EL,M,EL,EH,H,EH,EH,EH,EH,EL,L,EH,EL,EH,EH,M,M,EL,EH,EH,EL,H,EH,L,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,L,EH,EH,EH,H,L,L,EH,M,M,EH,L,EL
EH,EH,EH,EH,EH,EH,EH,EH,EL,EH,L,M,EH,EL,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EL,EH,L,EH,H,EH,EH,EH,EH,EH,EH,EL,EL,EH,L,H,EH,EH,EH,EH,H,M,L,EL,EL,EH,EL,H,M,EH,H,EH,M,EL,EL,EH,EL,M,EH,EH,EH,EL,EH,EH,EL,EH,M,EL,EH,H,H,H,EH,EH,H,H,H,L,EH,EH,EH,EL,H,H,EH,H,M,EL,EH,L,EL,EH,L,EL
EH,EH,EH,EH,EH,EH,EH,EH,EL,EH,EL,EL,H,L,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,L,EH,EL,EH,M,EH,EH,EH,EH,EH,H,M,L,EH,EL,EL,EH,EH,EH,EH,EH,EL,L,EL,EL,EH,EL,H,EL,EH,EH,EH,EH,EL,L,EH,EL,H,EH,EH,EH,EL,EH,EH,EL,EH,M,EL,EH,EH,EH,EH,EH,EH,EH,EH,M,EH,EH,H,EH,EL,EH,EH,EH,H,L,EL,EH,EL,EL,H,EL,EL
EH,EH,EH,H,H,EH,H,EH,EL,EH,EL,EL,H,EL,H,H,EH,EH,H,EH,M,H,M,H,L,EL,EL,M,EL,H,EL,H,EH,EH,EH,M,H,EL,EL,H,L,EL,EH,EH,H,H,EH,EL,EL,EL,EL,M,EL,EH,L,EH,EH,EH,H,EL,L,EH,EL,H,EH,L,EH,EL,EH,M,EL,M,L,EL,EH,EH,EH,H,H,EH,EH,EH,M,EL,EH,EH,H,EL,EH,EH,EH,H,M,EL,EH,H,L,H,EL,EL
EH,EH,EH,EH,EH,H,EH,H,L,EH,EL,EL,EH,EL,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,M,EH,EL,H,M,EH,EH,H,EH,EH,H,L,EL,EH,EL,L,EH,EH,H,EH,H,L,M,EL,EL,M,EL,EH,M,EH,EH,EH,EH,EL,M,EH,L,EH,EH,H,EH,EL,EH,M,EL,EH,EH,EL,EH,EH,H,EH,EH,EH,EH,EH,EH,H,H,EH,EH,EL,H,EH,H,H,L,L,M,EL,EL,EH,EL,L
EH,EH,EH,EH,EH,EH,H,H,L,EH,M,EL,EH,L,EH,EH,EH,EH,H,H,EH,H,EH,EH,EH,EH,EL,EH,L,EH,L,EH,EH,EH,EH,EH,H,L,L,EH,L,EL,EH,EH,H,EH,EH,H,M,L,EL,EH,L,H,L,EH,M,EH,EH,EL,L,EH,EL,H,EH,EH,EH,H,EH,EH,EL,EH,L,L,EH,EH,H,EH,EH,EH,EH,H,EH,EH,EH,EH,H,EL,EH,EH,EH,EH,L,L,EH,M,EL,H,EL,EL
H,H,H,H,L,L,EH,H,EL,EH,EL,EL,EH,EL,L,H,H,H,EH,EH,H,EH,EH,EL,M,EH,EL,H,EL,H,L,M,L,M,L,H,H,M,EL,L,L,EL,H,M,H,H,EH,L,EL,EL,EL,M,EL,EH,EL,EH,EH,H,M,EL,EL,H,EL,EH,EH,EH,EH,EL,EH,M,EL,EH,H,EL,L,H,EH,H,H,EH,H,EH,M,EL,H,EH,EH,EL,H,H,EL,H,L,EL,EH,L,EL,H,EL,EL
EH,EH,EH,EH,EH,EH,EH,H,EL,EH,EL,L,EH,EL,EH,EH,EH,H,EH,M,EH,EH,EH,EH,EH,EH,L,EH,EL,H,EL,EH,EH,EH,EH,H,EH,EL,EL,EH,L,L,EH,EH,EH,EH,H,EL,L,EL,EL,EH,EL,EH,M,EH,H,EH,EH,EL,L,EH,EL,H,EH,H,EH,L,EH,EH,EL,EH,EH,EL,EH,H,EH,EH,EH,EH,H,EH,H,EH,H,EH,EH,EL,H,H,H,H,EL,EL,EH,EL,EL,EH,L,EL
H,EH,H,EH,EH,EH,EH,EH,EL,H,M,EL,H,L,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EL,EH,L,EH,EL,EH,EH,EH,EH,EH,EH,EL,EL,EH,L,EL,EH,EH,EH,EH,H,L,M,L,EL,EH,L,H,EL,EH,EH,EH,H,EL,EL,EH,EL,L,EH,EH,EH,M,EH,EH,EL,EH,EH,EL,EH,M,H,EH,EH,EH,EH,H,EH,M,EH,EH,EH,EL,H,H,EH,H,EL,EL,H,L,EL,H,M,EL
H,H,H,H,M,M,EH,H,L,EH,L,EL,EH,EL,M,H,H,H,EH,H,H,EH,EH,L,H,EH,L,H,EL,EH,M,H,H,H,M,H,H,EL,M,H,L,M,M,EH,EH,EH,EH,M,L,L,M,M,L,EH,L,EH,EH,H,H,L,L,H,L,H,EH,EH,EH,L,EH,M,L,H,M,M,EH,EH,EH,EH,EH,EH,H,EH,H,M,EH,M,EH,L,H,M,H,H,L,EL,H,L,L,EH,M,L
