"","items","support","count"
"78","{EVI5L.115704=EH,LOC100129034.100129034=EL,RNASE4.6038=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"79","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,UGT1A8.54576=L}",1,66
"80","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,ANKS4B.257629=EL}",1,66
"81","{EVI5L.115704=EH,LOC100129034.100129034=EL,NTN1.9423=EH,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"82","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,GBA3.57733=EL}",1,66
"83","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,ALPI.248=L}",1,66
"84","{EVI5L.115704=EH,LOC100131551.100131551=EL,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"85","{EVI5L.115704=EH,PLEKHJ1.55111=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"86","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,SLC2A2.6514=EL}",1,66
"87","{EVI5L.115704=EH,LOC100129034.100129034=EL,CUBN.8029=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"88","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,CYP21A2.1589=EL}",1,66
"89","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,UGT1A3.54659=L}",1,66
"90","{EVI5L.115704=EH,LOC100129034.100129034=EL,ABCC3.8714=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"91","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"92","{EVI5L.115704=EH,LOC100129034.100129034=EL,C1orf186.440712=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"93","{EVI5L.115704=EH,LOC100129034.100129034=EL,ALPK2.115701=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"94","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,NGEF.25791=EL}",1,66
"95","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,CFB.629=EL}",1,66
"96","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,HAVCR1.26762=EL}",1,66
"97","{EVI5L.115704=EH,LOC100129034.100129034=EL,UNC5CL.222643=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"98","{EVI5L.115704=EH,LOC100129034.100129034=EL,MTMR11.10903=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"99","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,HNF4A.3172=EL}",1,66
"100","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,REG3G.130120=L}",1,66
"101","{EVI5L.115704=EH,LOC100129034.100129034=EL,FIGNL2.401720=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"102","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,NRXN2.9379=EL}",1,66
"103","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,HHLA2.11148=EL}",1,66
"104","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,NXNL2.158046=EL}",1,66
"105","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,ADAM18.8749=M}",1,66
"106","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,ENKUR.219670=EL}",1,66
"107","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,FAM58A.92002=EH,SLC39A5.283375=EL}",1,66
"108","{EVI5L.115704=EH,COL23A1.91522=EL,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"109","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,ACSM2B.348158=EL,SLC39A5.283375=EL}",1,66
"110","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,C4orf47.441054=EL,SLC39A5.283375=EL}",1,66
"111","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,CDHR5.53841=EL,SLC39A5.283375=EL}",1,66
"112","{EVI5L.115704=EH,FLJ32063.150538=M,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"113","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,CLDN2.9075=EL,SLC39A5.283375=EL}",1,66
"114","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,LOC285733.285733=EL}",1,66
"115","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,WFDC5.149708=M}",1,66
"116","{EVI5L.115704=EH,CYP2J2.1573=EL,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"117","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,TRIM10.10107=EL,SLC39A5.283375=EL}",1,66
"118","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,KLK15.55554=EH}",1,66
"119","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,RHCG.51458=EH}",1,66
"120","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,IL22RA1.58985=EL,SLC39A5.283375=EL}",1,66
"121","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,UGT1A7.54577=M}",1,66
"122","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,CDH6.1004=EL,SLC39A5.283375=EL}",1,66
"123","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC22A11.55867=EL,SLC39A5.283375=EL}",1,66
"124","{EVI5L.115704=EH,SLC17A4.10050=EL,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"125","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,ACY3.91703=EL,SLC39A5.283375=EL}",1,66
"126","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,GALNT14.79623=EL,SLC39A5.283375=EL}",1,66
"127","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,TTTY4C.474150=H}",1,66
"128","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,TRIM15.89870=EL,SLC39A5.283375=EL}",1,66
"129","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,FCAMR.83953=EL}",1,66
"130","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,CTSL3.392360=L}",1,66
"131","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,ACE2.59272=EL}",1,66
"132","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,SLC7A9.11136=EL}",1,66
"133","{EVI5L.115704=EH,LOC100129034.100129034=EL,TMEM176B.28959=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"134","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,NAT8.9027=EL}",1,66
"135","{EVI5L.115704=EH,LOC100129034.100129034=EL,PDZD3.79849=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"136","{EVI5L.115704=EH,LOC100129034.100129034=EL,PROS1.5627=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"137","{EVI5L.115704=EH,LOC100129034.100129034=EL,KBTBD11.9920=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"138","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,SLC17A3.10786=EL}",1,66
"139","{EVI5L.115704=EH,LOC100129034.100129034=EL,ODAM.54959=EH,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"140","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,SLC23A1.9963=EL}",1,66
"141","{EVI5L.115704=EH,LOC100129034.100129034=EL,UGT2A3.79799=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"142","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,PRAP1.118471=EL}",1,66
"143","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,REG1B.5968=M}",1,66
"144","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,CAPN12.147968=EL}",1,66
"145","{EVI5L.115704=EH,LOC100129034.100129034=EL,TMEM176A.55365=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"146","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,LGALS2.3957=EL}",1,66
"147","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,BBOX1.8424=EL}",1,66
"148","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,SLC6A13.6540=EL}",1,66
"149","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLRN3.119467=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"150","{EVI5L.115704=EH,LOC100129034.100129034=EL,PDZK1IP1.10158=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"151","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,SLC5A10.125206=EL}",1,66
"152","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,BAIAP2L2.80115=EL}",1,66
"153","{EVI5L.115704=EH,LOC100129034.100129034=EL,ANG.283=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"154","{EVI5L.115704=EH,LOC100129034.100129034=EL,C14orf73.91828=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"155","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,ANXA13.312=EL}",1,66
"156","{EVI5L.115704=EH,LOC100129034.100129034=EL,FUT6.2528=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"157","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC28A1.9154=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
